ID,Active (0/1),Name *,Parent category,Root category (0/1),Description,Meta title,Meta keywords,Meta description,URL rewritten,Image URL
,1,Альбомы,Книги,0,,,,,,
,1,Искусство,Альбомы,0,,,,,,
,1,Английский и другие языки,Книги,0,,,,,,
,1,Биографии,Книги,0,,,,,,
,1,Воспоминания,Книги,0,,,,,,
,1,Детективы,Книги,0,,,,,,
,1,Детская литература,Книги,0,,,,,,
,1,Естественные науки,Книги,0,,,,,,
,1,Здоровье,Книги,0,,,,,,
,1,История,Книги,0,,,,,,
,1,Календари,Книги,0,,,,,,
,1,Книги на двух языках,Книги,0,,,,,,
,1,Книги на украинском языке,Книги,0,,,,,,
,1,Компьютерная литература,Книги,0,,,,,,
,1,Кулинария,Книги,0,,,,,,
,1,Культурология,Книги,0,,,,,,
,1,Литературные путешествия,Книги,0,,,,,,
,1,Литературоведение,Книги,0,,,,,,
,1,Музыка,Книги,0,,,,,,
,1,Немецкий язык и Германия,Книги,0,,,,,,
,1,Немецкий язык - Словари,Немецкий язык и Германия,0,,,,,,
,1,Нетрадиционная медицина,Книги,0,,,,,,
,1,Подарочные издания,Книги,0,,,,,,
,1,Подписные книжные издания,Книги,0,,,,,,
,1,Поэзия,Книги,0,,,,,,
,1,Психология,Книги,0,,,,,,
,1,Путешествия,Книги,0,,,,,,
,1,Разное,Книги,0,,,,,,
,1,Афоризмы,Разное,0,,,,,,
,1,Боевые искусства,Разное,0,,,,,,
,1,Религия,Книги,0,,,,,,
,1,Иудаика,Религия,0,,,,,,
,1,Православие,Религия,0,,,,,,
,1,Русский язык,Книги,0,,,,,,
,1,Русский язык - как иностранный,Русский язык,0,,,,,,
,1,Русский язык - словари и справоч,Русский язык,0,,,,,,
,1,Словари,Книги,0,,,,,,
,1,Собрания сочинений,Книги,0,,,,,,
,1,Справочники и Энциклопедии,Книги,0,,,,,,
,1,Учебники,Книги,0,,,,,,
,1,Фантастика,Книги,0,,,,,,
,1,Философия,Книги,0,,,,,,
,1,Художественная литература,Книги,0,,,,,,
,1,Зарубежная литература,Художественная литература,0,,,,,,
,1,Русская литература,Художественная литература,0,,,,,,
,1,Шахматы,Книги,0,,,,,,
,1,Эзотерика,Книги,0,,,,,,
,1,Юмор,Книги,0,,,,,,
,1,Языкознание,Книги,0,,,,,,